"Title","Artist","Album","Time","BPM","Key","URL"
"""Itachi"" - Rap Freestyle Beat | Japanese Underground Boom Bap Beat | Hip Hop Instrumental | Nxnja","Nxnja",,"03:53","92.0","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C%EF%BC%82Itachi%EF%BC%82%20-%20Rap%20Freestyle%20Beat%20%EF%BD%9C%20Japanese%20Underground%20Boom%20Bap%20Beat%20%EF%BD%9C%20Hip%20Hop%20Instrumental%20%EF%BD%9C%20Nxnja-(153k).mp3"
"""Nobody"" Land","Tory Lanez","LOL : SLUTTY BASS","03:41","139.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTory%20Lanez%20-%20Nobody%20Land.mp3"
"$extape","De La Rose, Eladio Carrion","FX De La Rose","04:05","118.0","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDe%20La%20Rose,%20Eladio%20Carrion%20-%20$extape.mp3"
"'97 Hov","Benny the Butcher","Tana Talk 3","04:11","81.5","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBenny%20the%20Butcher%20-%20'97%20Hov.mp3"
"(There’s No Place Like) Home for the Holidays","Perry Como","Season’s Greetings From Perry Como","03:00","143.2","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPerry%20Como%20-%20(There%E2%80%99s%20No%20Place%20Like)%20Home%20for%20the%20Holidays.mp3"
"**BROTHER**","Jessie Reyez & Deyaz","PAID IN MEMORIES","02:59","80.0","4d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJessie%20Reyez%20&%20Deyaz%20-%20BROTHER.mp3"
"**GOLIATH**","Jessie Reyez","PAID IN MEMORIES","03:06","86.0","8m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJessie%20Reyez%20-%20GOLIATH.mp3"
"**PSILOCYBIN & DAISIES**","Jessie Reyez","PAID IN MEMORIES","02:17","140.0","5d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJessie%20Reyez%20-%20PSILOCYBIN%20&%20DAISIES.mp3"
"++* love hurts **","Playboi Carti + TRAVIS SCOTT *","++* love hurts **","03:00","141.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPlayboi%20Carti%20+%20TRAVIS%20SCOTT%20%20-%20++%20love%20hurts%20.mp3"
"+Linda (Remix) (Spanish Dirty) 92","Dalex, Arcangel & Manuel Turizo Ft De La Ghetto & Beele",,"03:40","92.0","5d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDalex,%20Arcangel%20&%20Manuel%20Turizo%20Ft%20De%20La%20Ghetto%20&%20Beele%20-%20+Linda%20(Remix)%20(Spanish%20Dirty)%2092.mp3"
"0 to 100","G‐Unit","Back to the Street","03:41","90.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CG%E2%80%90Unit%20-%200%20to%20100.mp3"
"00216 (Opposite ways Remix)","Kadhem","00216","05:49","124.0","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C00216%20(Opposite%20ways%20Remix)-(137k).mp3"
"01 - Dog Shit Ft Nas","Mobb Deep","The Most Infamous Pt. 2","03:50","80.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMobb%20Deep%20-%2001%20-%20Dog%20Shit%20Ft%20Nas.mp3"
"02 Prodigy - The Essence","Mobb Deep","Flash Mobb (20Th Year Anniversary)","01:28","90.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMobb%20Deep%20-%2002%20Prodigy%20-%20The%20Essence.mp3"
